RULES: ('WEEK_49',) => ('DENGUE_HIGH',) : 0.7222
RULES: ('EVI_DENSEST', 'POLS_STABLE', 'TEMPN_NORMAL') => ('DENGUE_HIGH',) : 0.8125
RULES: ('TDIST_MIDDLING FAR', 'TEMPS_COLD', 'SOI_LA NINA') => ('DENGUE_LOW',) : 0.7857
RULES: ('TEMPS_NORMAL', 'TWIND_STRONG', 'POV_NORMAL') => ('DENGUE_HIGH',) : 0.8
RULES: ('POPD_LOWLY DENSE', 'TEMPS_WARM', 'SOI_LOW') => ('DENGUE_HIGH',) : 0.7692
RULES: ('TWIND_STRONG', 'ALT_NORMAL', 'RAINFALL_SMALL') => ('DENGUE_HIGH',) : 0.725
RULES: ('POPD_LESS DENSE', 'TEMPS_COLD', 'POV_MILDLY NORMAL') => ('DENGUE_LOW',) : 0.7059
RULES: ('TEMPS_NORMAL', 'RAINFALL_LARGE', 'TWIND_MODERATELY WEAK') => ('DENGUE_HIGH',) : 0.75
RULES: ('TEMPS_HOT', 'RAINFALL_LARGE', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.75
RULES: ('TEMPN_NORMAL', 'ALT_NORMAL', 'TDIST_FAR') => ('DENGUE_HIGH',) : 0.72
RULES: ('ALT_LOW', 'POLS_VERY UNSTABLE', 'SOI_EL NINO') => ('DENGUE_LOW',) : 0.72
RULES: ('TEMPS_COLD', 'RAINFALL_SMALL', 'TEMPN_WARM') => ('DENGUE_HIGH',) : 0.75
RULES: ('POPD_LESS DENSE', 'TWIND_MODERATELY STRONG', 'RAINFALL_SMALL') => ('POLS_VERY STABLE',) : 0.8
RULES: ('TEMPS_NORMAL', 'SSTA_WARM', 'ALT_NORMAL') => ('DENGUE_LOW',) : 0.7143
RULES: ('RAINFALL_VERY LARGE', 'POLS_VERY STABLE', 'ALT_NORMAL') => ('DENGUE_LOW',) : 0.7368
RULES: ('POPD_HIGHLY DENSE', 'TEMPN_COLD', 'SOI_EL NINO') => ('DENGUE_LOW',) : 0.7083
RULES: ('POV_NORMAL', 'TEMPS_WARM', 'NDVI_GREENEST') => ('DENGUE_HIGH',) : 0.7273
RULES: ('SSTA_NORMAL', 'POLS_STABLE', 'TEMPS_NORMAL') => ('DENGUE_LOW',) : 0.7692
RULES: ('EVI_DENSEST', 'TWIND_MODERATELY WEAK', 'TDIST_FAR') => ('DENGUE_HIGH',) : 0.7059
RULES: ('NDVI_GREENER', 'POLS_VERY UNSTABLE', 'POPD_HIGHLY DENSE') => ('DENGUE_HIGH',) : 0.7647
RULES: ('POPD_LOWLY DENSE', 'TEMPS_WARM', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.7368
RULES: ('SSTA_NORMAL', 'EVI_LESS DENSE', 'POV_MILDLY NORMAL') => ('POLS_VERY UNSTABLE',) : 0.7143
RULES: ('TEMPS_HOT', 'TEMPN_WARM', 'SOI_LOW') => ('DENGUE_LOW',) : 0.7143
RULES: ('EVI_DENSER', 'RAINFALL_VERY LARGE', 'NDVI_GREENEST') => ('DENGUE_HIGH',) : 0.75
RULES: ('NDVI_GREENER', 'POV_NORMAL', 'POLS_VERY STABLE') => ('DENGUE_HIGH',) : 0.7826
RULES: ('POV_MILDLY POOR', 'POPD_DENSE', 'ALT_NORMAL') => ('TWIND_WEAK',) : 0.7273
RULES: ('EVI_DENSEST', 'SSTA_WARM', 'SOI_LOW') => ('RAINFALL_VERY LARGE',) : 0.7273
RULES: ('EVI_LESS DENSE', 'TWIND_MODERATELY WEAK', 'SOI_LOW') => ('POV_NORMAL',) : 0.8182
RULES: ('POV_MILDLY POOR', 'SSTA_WARM', 'SOI_EL NINO') => ('TDIST_FAR',) : 0.8
RULES: ('ALT_LOW', 'POLS_STABLE', 'SOI_LOW') => ('DENGUE_HIGH',) : 0.7143
RULES: ('EVI_DENSER', 'POPD_HIGHLY DENSE', 'RAINFALL_LARGE') => ('DENGUE_LOW',) : 0.75
RULES: ('NDVI_GREENER', 'TEMPN_COLD', 'SSTA_HOT') => ('SOI_LA NINA',) : 0.7273
RULES: ('POLS_VERY UNSTABLE', 'TEMPS_HOT', 'SSTA_WARM') => ('EVI_DENSEST',) : 0.7333
RULES: ('TEMPN_NORMAL', 'TWIND_WEAK', 'ALT_NORMAL') => ('DENGUE_HIGH',) : 0.7368
RULES: ('SSTA_COLD', 'TWIND_WEAK', 'NDVI_GREENEST') => ('DENGUE_LOW',) : 0.76
RULES: ('NDVI_GREENER', 'TEMPS_WARM', 'POLS_VERY STABLE') => ('TEMPN_HOT',) : 0.8333
RULES: ('ALT_TALL', 'SSTA_COLD', 'TEMPS_HOT') => ('DENGUE_HIGH',) : 0.8182
RULES: ('SSTA_COLD', 'POLS_VERY UNSTABLE', 'TDIST_NEAR') => ('DENGUE_LOW',) : 0.7647
RULES: ('TDIST_MIDDLING FAR', 'SOI_LA NINA', 'TEMPN_COLD') => ('DENGUE_LOW',) : 0.75
RULES: ('SSTA_NORMAL', 'EVI_DENSER', 'POV_MILDLY NORMAL') => ('TWIND_WEAK',) : 0.8
RULES: ('RAINFALL_MEDIUM', 'TWIND_STRONG', 'NDVI_GREENEST') => ('POPD_LOWLY DENSE',) : 0.7143
RULES: ('NDVI_GREEN', 'POLS_UNSTABLE', 'POV_POOR') => ('TDIST_DIRECT HIT',) : 0.7333
RULES: ('SOI_LOW', 'NDVI_GREENER', 'SSTA_HOT') => ('POLS_VERY UNSTABLE',) : 0.7273
RULES: ('TEMPN_HOT', 'EVI_LESS DENSE', 'ALT_LOW') => ('DENGUE_LOW',) : 0.7333
RULES: ('SOI_LOW', 'TDIST_NEAR', 'SSTA_HOT') => ('DENGUE_HIGH',) : 0.7857
